fecha_deteccion;fecha_timeout;operador;proceso;codigo;descripcion;rango_consulta;time_taken_ms;status;status_code
2026-05-07 08:50:52;2026-05-07 03:07:18;CLARO;Terminación;TIMEOUT_31734ms;Timeout: 31,734ms;now-7d;31734;;
2026-05-07 08:50:52;2026-05-07 03:07:18;CLARO;Terminación;TIMEOUT_32345ms;Timeout: 32,345ms;now-7d;32345;;
2026-05-07 08:50:52;2026-05-07 03:07:18;CLARO;Terminación;TIMEOUT_32924ms;Timeout: 32,924ms;now-7d;32924;;
2026-05-07 08:50:52;2026-05-07 03:07:17;CLARO;Terminación;TIMEOUT_33684ms;Timeout: 33,684ms;now-7d;33684;;
2026-05-07 08:50:52;2026-05-07 03:07:17;CLARO;Terminación;TIMEOUT_34545ms;Timeout: 34,545ms;now-7d;34545;;
2026-05-06 16:22:27;2026-05-06 15:47:57;CLARO;Activación Servicios;TIMEOUT_34887ms;Timeout: 34,887ms;now-7d;34887;;
2026-05-06 16:22:27;2026-05-06 14:56:03;CLARO;Activación ONT;TIMEOUT_31826ms;Timeout: 31,826ms;now-7d;31826;;
2026-05-06 16:22:27;2026-05-06 12:17:18;CLARO;Activación Servicios;TIMEOUT_36396ms;Timeout: 36,396ms;now-7d;36396;;
2026-05-06 16:22:27;2026-05-06 10:46:52;CLARO;Activación Servicios;TIMEOUT_42061ms;Timeout: 42,061ms;now-7d;42061;;
2026-05-06 16:22:27;2026-05-06 10:36:06;CLARO;Activación Servicios;TIMEOUT_32197ms;Timeout: 32,197ms;now-7d;32197;;
2026-05-06 16:22:27;2026-05-06 10:36:06;CLARO;Activación Servicios;TIMEOUT_32118ms;Timeout: 32,118ms;now-7d;32118;;
2026-05-06 09:56:01;2026-05-06 09:52:07;CLARO;Activación Servicios;TIMEOUT_30899ms;Respuesta lenta: 30,899 ms (>30s);Importación histórica;30899;SUCCESS;200.0
2026-05-06 09:33:06;2026-05-06 09:18:38;CLARO;Activación ONT;TIMEOUT_31799ms;Timeout: 31,799ms;now-7d;31799;;
2026-05-06 09:33:06;2026-05-06 09:18:37;CLARO;Activación ONT;TIMEOUT_33354ms;Timeout: 33,354ms;now-7d;33354;;
2026-05-06 09:33:06;2026-05-06 09:14:55;CLARO;Activación Servicios;TIMEOUT_32249ms;Timeout: 32,249ms;now-7d;32249;;
2026-05-06 09:04:10;2026-05-06 09:00:36;CLARO;Activación Servicios;TIMEOUT_35598ms;Respuesta lenta: 35,598 ms (>30s);Importación histórica;35598;SUCCESS;200.0
2026-05-06 09:04:10;2026-05-06 08:21:02;CLARO;Activación Servicios;TIMEOUT_35555ms;Respuesta lenta: 35,555 ms (>30s);Importación histórica;35555;SUCCESS;200.0
2026-05-06 09:04:10;2026-05-06 08:20:45;CLARO;Activación Servicios;TIMEOUT_43265ms;Respuesta lenta: 43,265 ms (>30s);Importación histórica;43265;SUCCESS;200.0
2026-05-06 09:04:10;2026-05-06 08:20:45;CLARO;Activación Servicios;TIMEOUT_42913ms;Respuesta lenta: 42,913 ms (>30s);Importación histórica;42913;SUCCESS;200.0
2026-05-06 08:14:25;2026-05-06 03:02:45;CLARO;Terminación;TIMEOUT_30295ms;Timeout: 30,295ms;now-7d;30295;;
2026-05-06 08:14:25;2026-05-06 03:02:45;CLARO;Terminación;TIMEOUT_30842ms;Timeout: 30,842ms;now-7d;30842;;
2026-05-06 08:14:25;2026-05-06 03:02:44;CLARO;Terminación;TIMEOUT_31395ms;Timeout: 31,395ms;now-7d;31395;;
2026-05-06 08:14:25;2026-05-06 03:02:44;CLARO;Terminación;TIMEOUT_32068ms;Timeout: 32,068ms;now-7d;32068;;
2026-05-06 08:14:25;2026-05-06 03:02:44;CLARO;Terminación;TIMEOUT_32771ms;Timeout: 32,771ms;now-7d;32771;;
2026-05-06 08:14:25;2026-05-06 03:02:43;CLARO;Terminación;TIMEOUT_33552ms;Timeout: 33,552ms;now-7d;33552;;
2026-05-06 08:14:25;2026-05-06 03:01:28;CLARO;Terminación;TIMEOUT_30387ms;Timeout: 30,387ms;now-7d;30387;;
2026-05-06 08:14:25;2026-05-06 03:01:28;CLARO;Terminación;TIMEOUT_30006ms;Timeout: 30,006ms;now-7d;30006;;
2026-05-06 08:14:25;2026-05-06 03:01:28;CLARO;Terminación;TIMEOUT_30664ms;Timeout: 30,664ms;now-7d;30664;;
2026-05-06 08:14:25;2026-05-06 03:01:28;CLARO;Terminación;TIMEOUT_30946ms;Timeout: 30,946ms;now-7d;30946;;
2026-05-06 08:14:25;2026-05-06 03:01:28;CLARO;Terminación;TIMEOUT_31718ms;Timeout: 31,718ms;now-7d;31718;;
